ds,y
2022-07-29 02:00:00,271
2022-07-29 03:00:00,263
2022-07-29 04:00:00,283
2022-07-29 05:00:00,105
2022-07-29 06:00:00,24
2022-07-29 07:00:00,35
2022-07-29 08:00:00,30
2022-07-29 09:00:00,35
2022-07-29 10:00:00,69
2022-07-29 11:00:00,91
2022-07-29 12:00:00,96
2022-07-29 13:00:00,136
2022-07-29 14:00:00,139
2022-07-29 15:00:00,196
2022-07-29 16:00:00,219
2022-07-29 17:00:00,205
2022-07-29 18:00:00,177
2022-07-29 19:00:00,159
2022-07-29 20:00:00,133
2022-07-29 21:00:00,142
2022-07-29 22:00:00,189
2022-07-29 23:00:00,208
2022-07-30 00:00:00,225
2022-07-30 01:00:00,263
2022-07-30 02:00:00,366
2022-07-30 03:00:00,261
2022-07-30 04:00:00,164
2022-07-30 05:00:00,76
2022-07-30 06:00:00,69
2022-07-30 07:00:00,58
2022-07-30 08:00:00,36
2022-07-30 09:00:00,31
2022-07-30 10:00:00,31
2022-07-30 11:00:00,61
2022-07-30 12:00:00,64
2022-07-30 13:00:00,78
2022-07-30 14:00:00,142
2022-07-30 15:00:00,155
2022-07-30 16:00:00,149
2022-07-30 17:00:00,234
2022-07-30 18:00:00,153
2022-07-30 19:00:00,121
2022-07-30 20:00:00,83
2022-07-30 21:00:00,140
2022-07-30 22:00:00,312
2022-07-30 23:00:00,343
2022-07-31 00:00:00,256
2022-07-31 01:00:00,215
2022-07-31 02:00:00,142
2022-07-31 03:00:00,165
2022-07-31 04:00:00,71
2022-07-31 05:00:00,65
2022-07-31 06:00:00,54
2022-07-31 07:00:00,44
2022-07-31 08:00:00,48
2022-07-31 09:00:00,62
2022-07-31 10:00:00,33
2022-07-31 11:00:00,37
2022-07-31 12:00:00,52
2022-07-31 13:00:00,76
2022-07-31 14:00:00,115
2022-07-31 15:00:00,109
2022-07-31 16:00:00,131
2022-07-31 17:00:00,141
2022-07-31 18:00:00,152
2022-07-31 19:00:00,138
2022-07-31 20:00:00,153
2022-07-31 21:00:00,202
2022-07-31 22:00:00,245
2022-07-31 23:00:00,242
2022-08-01 00:00:00,271
2022-08-01 01:00:00,286
2022-08-01 02:00:00,256
2022-08-01 03:00:00,283
2022-08-01 04:00:00,151
2022-08-01 05:00:00,99
2022-08-01 06:00:00,51
2022-08-01 07:00:00,17
2022-08-01 08:00:00,13
2022-08-01 09:00:00,26
2022-08-01 10:00:00,59
2022-08-01 11:00:00,87
2022-08-01 12:00:00,96
2022-08-01 13:00:00,137
2022-08-01 14:00:00,183
2022-08-01 15:00:00,167
2022-08-01 16:00:00,211
2022-08-01 17:00:00,229
2022-08-01 18:00:00,241
2022-08-01 19:00:00,159
2022-08-01 20:00:00,202
2022-08-01 21:00:00,256
2022-08-01 22:00:00,242
2022-08-01 23:00:00,265
2022-08-02 00:00:00,258
2022-08-02 01:00:00,309
2022-08-02 02:00:00,246
2022-08-02 03:00:00,227
2022-08-02 04:00:00,125
2022-08-02 05:00:00,56
2022-08-02 06:00:00,33
2022-08-02 07:00:00,32
2022-08-02 08:00:00,17
2022-08-02 09:00:00,25
2022-08-02 10:00:00,58
2022-08-02 11:00:00,98
2022-08-02 12:00:00,135
2022-08-02 13:00:00,139
2022-08-02 14:00:00,150
2022-08-02 15:00:00,142
2022-08-02 16:00:00,158
2022-08-02 17:00:00,164
2022-08-02 18:00:00,150
2022-08-02 19:00:00,128
2022-08-02 20:00:00,187
2022-08-02 21:00:00,187
2022-08-02 22:00:00,221
2022-08-02 23:00:00,328
2022-08-03 00:00:00,218
2022-08-03 01:00:00,357
2022-08-03 02:00:00,401
2022-08-03 03:00:00,219
2022-08-03 04:00:00,108
2022-08-03 05:00:00,56
2022-08-03 06:00:00,47
2022-08-03 07:00:00,31
2022-08-03 08:00:00,16
2022-08-03 09:00:00,27
2022-08-03 10:00:00,51
2022-08-03 11:00:00,74
2022-08-03 12:00:00,134
2022-08-03 13:00:00,130
2022-08-03 14:00:00,134
2022-08-03 15:00:00,172
2022-08-03 16:00:00,167
2022-08-03 17:00:00,147
2022-08-03 18:00:00,120
2022-08-03 19:00:00,96
2022-08-03 20:00:00,178
2022-08-03 21:00:00,275
2022-08-03 22:00:00,362
2022-08-03 23:00:00,370
2022-08-04 00:00:00,435
2022-08-04 01:00:00,414
2022-08-04 02:00:00,269
2022-08-04 03:00:00,254
2022-08-04 04:00:00,176
2022-08-04 05:00:00,79
2022-08-04 06:00:00,38
2022-08-04 07:00:00,19
2022-08-04 08:00:00,19
2022-08-04 09:00:00,32
2022-08-04 10:00:00,68
2022-08-04 11:00:00,72
2022-08-04 12:00:00,106
2022-08-04 13:00:00,147
2022-08-04 14:00:00,120
2022-08-04 15:00:00,174
2022-08-04 16:00:00,176
2022-08-04 17:00:00,169
2022-08-04 18:00:00,117
2022-08-04 19:00:00,108
2022-08-04 20:00:00,106
2022-08-04 21:00:00,293
2022-08-04 22:00:00,146
2022-08-04 23:00:00,230
2022-08-05 00:00:00,347
2022-08-05 01:00:00,268
2022-08-05 02:00:00,236
2022-08-05 03:00:00,191
2022-08-05 04:00:00,84
2022-08-05 05:00:00,68
2022-08-05 06:00:00,32
2022-08-05 07:00:00,36
2022-08-05 08:00:00,51
2022-08-05 09:00:00,35
2022-08-05 10:00:00,68
2022-08-05 11:00:00,95
2022-08-05 12:00:00,90
2022-08-05 13:00:00,115
2022-08-05 14:00:00,183
